"Name","lon","lat","elev","mean","min","max","N"
"Acerra 26",14.4284,40.96616944,26,12.4825174825175,9.6,13.7,143
"Airola 154",14.59056667,41.07170278,154,10.0909090909091,7.7,11.3,77
"Alife",14.33372222,41.33922222,117,12.3159722222222,9.1,14.1,144
"Alife 152",14.28491944,41.34177222,152,12.113986013986,9.4,13.9,143
"Altavilla Irpina",14.78386111,41.00627778,352,8.76597222222222,5,11.1,144
"Alvignano",14.39466667,41.21825,235,10.3979166666667,7.2,12.2,144
"Apice 597",14.97204167,41.12759722,597,6.36619718309859,3.1,9.9,142
"Ariano Irpino",15.08541667,41.14852778,678,5.80833333333333,3.1,8,144
"Auletta",15.42830556,40.55180556,194,9.98055555555556,3.7,13.6,144
"Avellino Genio Civile",14.78358333,40.91197222,360,9.10833333333333,6.3,10.9,144
"Bagnoli Irpino",15.07444444,40.82730556,730,5.24722222222222,2.6,6.6,144
"Battipaglia",14.97575,40.61113889,64,12.8166666666667,9.2,14.8,144
"Battipaglia 46",14.98254444,40.58382778,46,12.2629370629371,8.7,14.2,143
"Bella-S.Antonio Casalini",15.59347222,40.73377778,744,5.67638888888889,3.5,8.1,144
"Benevento",14.76241667,41.142,119,10.8395833333333,5.7,13.4,144
"Boiara",15.24288889,40.84144444,780,4.63541666666667,2.2,6.9,144
"Boscotrecase 169",14.46297222,40.78719444,169,11.4783216783217,8.2,13.2,143
"Capaccio",14.96594444,40.46847222,3,12.0854166666667,9.5,13.9,144
"Caposele",15.22097222,40.81613889,428,8.07986111111111,5.3,10.2,144
"Carinola 13",14.00079722,41.14560278,13,12.193006993007,6.7,13.9,143
"Casalduni 482",14.66350833,41.25913611,482,8.29230769230769,5.2,10.8,143
"Casarea 25",14.35783333,40.889875,25,12.6370629370629,8.2,14.1,143
"Cassano Irpino",15.02944444,40.88008333,460,7.62291666666667,2.9,10.1,144
"Castel Vetere 769",14.91501389,41.42482778,769,4.47202797202797,2.1,6.6,143
"Castelfranco In Miscano",15.08822222,41.29952778,751,4.96319444444444,2.3,6.9,144
"Castelluccio",15.33786111,40.58191667,448,8.16736111111111,5.3,10.5,144
"Colle Sannita",14.83936111,41.36883333,777,4.67222222222222,2.3,6.6,144
"Conca della Campania 233",14.007975,41.36690556,233,10.7769230769231,7.9,12.9,143
"Controne 116",15.19673333,40.51201111,116,11.5783216783217,5.7,15.4,143
"Contursi Meteo",15.25197222,40.676,149,11.2590277777778,7.9,13,144
"Costa Dei Corvi",15.35163889,40.63736111,560,7.16875,5.1,9.1,144
"Cusano Mutri",14.52055556,41.32766667,364,9.85694444444444,7.1,12.2,144
"Eboli-Improsta 17",14.9806,40.5536722,17,12.3174825174825,9,14.2,143
"Ercolano",14.37244444,40.82555556,209,11.3979166666667,8.3,13.1,144
"Faicchio 304",14.47598333,41.28321667,304,10.5839160839161,8.5,13.3,143
"Falciano del Massico 89",13.95843056,41.17782222,89,12.5112676056338,6.5,14.5,142
"Fiaiano 204",13.92849444,40.72183333,204,11.0356643356643,8.8,12.4,143
"Flumeri 538",15.17211944,41.08291111,538,7.05244755244755,4.5,9.5,143
"Fonte Novella 168",14.62316667,40.88670278,168,11.8713286713287,9.4,13.6,143
"Forlì Del Sannio",14.18563889,41.69194444,540,7.37708333333333,0.4,10.5,144
"Fornelli",14.13330556,41.62316667,644,6.98958333333333,3.8,9.2,144
"Gioi Cilento",15.22619444,40.29125,691,7.53472222222222,3.9,10.2,144
"Grazzanise",14.10547222,41.09272222,14,12.10625,9.2,13.4,144
"Greci 641",15.13976389,41.23731111,641,5.64335664335664,2.8,7.6,143
"Gromola 11",14.98885278,40.47353056,11,11.6657342657343,8.7,13.9,143
"Guardia Sanframondi 173",14.59693611,41.23764167,173,10.9797202797203,8.1,14,143
"Isernia",14.25213889,41.61011111,460,8.22152777777778,3.3,11.1,144
"Letino",14.25302778,41.45391667,1050,3.4375,1.8,4.5,144
"Luogosano",15.00311111,40.98394444,450,8.12430555555556,4.4,10.3,144
"Massa di Faicchio 201",14.52843333,41.2582222,201,10.8300699300699,8.2,13.1,143
"Melizzano",14.50527778,41.16730556,190,10.3083333333333,7.6,12.1,144
"Mercato S.Severino",14.75288889,40.77841667,141,11.3153846153846,8.3,12.6,143
"Moiano",14.46388889,40.6535,485,9.58263888888889,6.1,12.1,144
"Montecorvino Rovella",14.98394444,40.66236111,154,12.2319444444444,9.3,14.6,144
"Montefredane 490",14.81463611,40.97600833,490,7.53426573426573,4.3,9.4,143
"Montella",15.05030556,40.84791667,489,7.19861111111111,4.1,9.2,144
"Montella 528",15.06518333,40.84511944,528,6.93006993006993,4.3,8.6,143
"Montemarano",15.00366667,40.91425,865,4.44583333333333,1.9,6.5,144
"Montemarano 527",15.02510556,40.93387778,527,7.35034965034965,3.7,9.1,143
"Montesano Terme",15.70413889,40.27936111,973,3.64097222222222,1.1,5.9,144
"Morcone",14.66602778,41.33536111,630,6.26111111111111,2.6,8.6,144
"Morigerati",15.56183333,40.14394444,431,9.45833333333333,7,11.8,144
"Paduli",14.83480556,41.14822222,130,11.0201388888889,6.1,13.6,144
"Palma Campania",14.56094444,40.87488889,80,12.5048611111111,10.1,14.4,144
"Parco Gussone 73",14.34752778,40.8148611,73,12.4264285714286,7.1,15.4,140
"Parco Maria 142",14.2358458,40.854702,142,11.2468085106383,9,13.4,47
"Persano Sele",15.03255556,40.54433333,35,12.4708333333333,9.8,14.1,144
"Pietradefusi 341",14.87981667,41.16609722,341,8.4965034965035,4.2,10.7,143
"Pietrastornina",14.73419444,40.99269444,495,7.61388888888889,4.4,9.4,144
"Pignataro Maggiore 44",14.14974444,41.16609722,44,12.4468531468531,9.4,14,143
"Pizzolano",14.78663889,40.78502778,244,10.7784722222222,7.8,13.3,144
"Pompei",14.49275,40.75669444,17,12.7298611111111,9.4,14.1,144
"Pontelatone",14.24183333,41.20436111,213,11.24375,8.5,12.9,144
"Positano",14.50344444,40.6305,455,9.69791666666667,7.3,11.8,144
"Ravello",14.61469444,40.65672222,389,10.2673611111111,6.7,12.2,144
"Roccadaspide",15.17036111,40.47597222,456,9.90694444444444,6,13.3,144
"Roccamonfina",13.96822222,41.27697222,590,7.93333333333333,4.5,10.1,144
"Rocchetta",14.97075,41.12461111,670,6.16319444444444,3.3,8.7,144
"S.Angelo D'Alife",14.23647222,41.35333333,130,14.7534722222222,6.5,17.7,144
"S.Maria A Vico",14.48602778,41.02758333,98,11.1520833333333,7.9,12.8,144
"S.Mauro",14.63233333,40.76408333,29,12.9930555555556,10.5,14.7,144
"S.Mauro La Bruca",15.28858333,40.12797222,427,9.70486111111111,7,12.8,144
"S.Pietro",14.78697222,40.81847222,209,10.7486111111111,7.5,12.4,144
"Sala Consilina",15.60305556,40.39433333,640,7.21180555555556,5,9.9,144
"San Lorenzo Maggiore 72",14.63475,41.25067778,72,10.9398601398601,7.3,13.4,143
"San Marco dei Cavoti 724",14.86775833,41.31384444,724,4.48671328671329,1.3,6.5,143
"San Paolo Bel Sito 50",14.546675,40.90281667,50,12.4258741258741,9.4,14.3,143
"Santa Paolina 355",14.85425,41.00415,355,8.6006993006993,4.9,10.6,143
"Sanza",15.55338889,40.24425,547,8.33194444444444,5.9,10.7,144
"Senerchia",15.20569444,40.73861111,578,7.64722222222222,5.1,8.8,144
"Serino",14.84452778,40.89136111,327,9.30138888888889,5.6,11.2,144
"Serre 82",15.135848,40.596852,82,11.2384615384615,8,13.4,143
"Sora",13.61947222,41.72238889,282,11.925,6.8,14.8,144
"Sorgenti Grassano",14.50166667,41.222,52,11.8840277777778,8.2,14.3,144
"Torchiara",15.05766667,40.32077778,419,10.2354166666667,6.9,12.7,144
"Torraca",15.62769444,40.11577778,529,9.10138888888889,6.1,12.2,144
"Torrecuso 172",14.705475,41.19878056,172,10.2447552447552,6.4,12.6,143
"Torriello",14.62586111,40.84752778,840,4.97291666666667,2.6,6.7,144
"Tramonti",14.64622222,40.70280556,417,8.95902777777778,5.1,10.7,144
"Vallo Della Lucania",15.26261111,40.22988889,377,10.85625,7.5,12.9,144
"Vitulazio 23",14.20215,41.12403056,23,12.0993006993007,9,13.5,143
